Part Number,Collection,Color,Category,Action,Image Source,Image Number,Column,Filename,URL,Result
CUSHBOL207-SRB-AM-AB,CUSHBOL207,Canvas Antique Beige,Accent Pillow,Stale entry removed (URL no longer in catalogue),,,,e90bce6e1ca596b496b83b5056668db2.jpg,,removed_from_image_list
CUSHBOL207-SRB-AM-AB,CUSHBOL207,Canvas Antique Beige,Accent Pillow,Stale entry removed (URL no longer in catalogue),,,,c028bad257c7661c559d1aa017da180c.jpg,,removed_from_image_list
CUSHBOL207-SRB-AM-AB,CUSHBOL207,Canvas Antique Beige,Accent Pillow,Stale entry removed (URL no longer in catalogue),,,,8a2f8392c2d0e00eaaa7fe727f6fe561.jpg,,removed_from_image_list
CUSHBOL207-SRB-AM-AB,CUSHBOL207,Canvas Antique Beige,Accent Pillow,Stale entry removed (URL no longer in catalogue),,,,bc24b7b3eb5f4336789591a65f9b14f8.jpg,,removed_from_image_list
CUSHBOL207-SRB-AM-AB,CUSHBOL207,Canvas Antique Beige,Accent Pillow,Stale entry removed (URL no longer in catalogue),,,,f3d11720d0bcfb4e861a3069789700b9.jpg,,removed_from_image_list
CUSHBOL207-SRB-AM-AB,CUSHBOL207,Canvas Antique Beige,Accent Pillow,New image downloaded,Wayfair,1,Wayfair Image 1,520ca33e25ee7629feb4dee18296de08.jpg,https://www.dropbox.com/scl/fi/2eluzx65jdjofugvbyzg6/CUSHBOL207-SRB-AM-AB_1.jpg?rlkey=ov1otz5nwk4b1fsr9dt4yxuom&dl=1&dl=1,ok
CUSHBOL207-SRB-AM-AB,CUSHBOL207,Canvas Antique Beige,Accent Pillow,New image downloaded,Wayfair,2,Wayfair Image 2,ae09a8f343da6ca1eb24d4f9f086c28b.jpg,https://www.dropbox.com/scl/fi/6wda42amnukltga0ofp94/CUSHBOL207-SRB-AM-AB_2.jpg?rlkey=llwmux48s5k4bg5dhu3nc8i8n&dl=1&dl=1,ok
CUSHBOL207-SRB-AM-AB,CUSHBOL207,Canvas Antique Beige,Accent Pillow,New image downloaded,Wayfair,3,Wayfair Image 3,3a822543992911af911c4a8398773e1d.jpg,https://www.dropbox.com/scl/fi/72zuw9rcmf4eghyitfyme/CUSHBOL207-SRB-AM-AB_3.jpg?rlkey=e98je0g5gsdndj5p4awssnmb6&dl=1&dl=1,ok
CUSHBOL207-SRB-AM-AB,CUSHBOL207,Canvas Antique Beige,Accent Pillow,New image downloaded,Wayfair,4,Wayfair Image 4,8d63954b6b8a62015a0848220602466f.jpg,https://www.dropbox.com/scl/fi/pc83bn1e7dbu8uwftsyr6/CUSHBOL207-SRB-AM-AB_4.jpg?rlkey=f57khbxwwfwracpl5s0kh57jv&dl=1&dl=1,ok
CUSHBOL207-SRB-AM-AB,CUSHBOL207,Canvas Antique Beige,Accent Pillow,New image downloaded,Wayfair,5,Wayfair Image 5,3b051cb24bbdb18972b4236f48665707.jpg,https://www.dropbox.com/scl/fi/suhqrcp9wx4jvzxri590h/CUSHBOL207-SRB-AM-AB_5.jpg?rlkey=ahd34xk4vdwa46ogjotpnm694&dl=1&dl=1,ok
