Part Number,Collection,Color,Action,Details,Result
NCI2001-1LC2M1C1RC-LAS,2001,Lasso,RENAME,NC->NCI: NC2001-1LC2M1C1RC-LAS -> NCI2001-1LC2M1C1RC-LAS,OK
NCI2001-2M2OT-LAS,2001,Lasso,RENAME,NC->NCI: NC2001-2M2OT-LAS -> NCI2001-2M2OT-LAS,OK
NCI2001-1LC1M1RC-LAS,2001,Lasso,RENAME,NC->NCI: NC2001-1LC1M1RC-LAS -> NCI2001-1LC1M1RC-LAS,OK
NCI2001-1LC3M1C1RC1OT-LAS,2001,Lasso,RENAME,NC->NCI: NC2001-1LC3M1C1RC1OT-LAS -> NCI2001-1LC3M1C1RC1OT-LAS,OK
NCI2001-1LC2M1C1RC-SI,2001,Spectrum Indigo,RENAME,NC->NCI: NC2001-1LC2M1C1RC-SI -> NCI2001-1LC2M1C1RC-SI,OK
NCI2001-1LC2M1C1RC1OT-LAS,2001,Lasso,RENAME,NC->NCI: NC2001-1LC2M1C1RC1OT-LAS -> NCI2001-1LC2M1C1RC1OT-LAS,OK
NCI2001-1LC2M1RC-LAS,2001,Lasso,RENAME,NC->NCI: NC2001-1LC2M1RC-LAS -> NCI2001-1LC2M1RC-LAS,OK
NCI2001-1LC5M1C1RC3OT-LAS,2001,Lasso,RENAME,NC->NCI: NC2001-1LC5M1C1RC3OT-LAS -> NCI2001-1LC5M1C1RC3OT-LAS,OK
NCI2001-3M1C-LAS,2001,Lasso,RENAME,NC->NCI: NC2001-3M1C-LAS -> NCI2001-3M1C-LAS,OK
NCI2001-1LC1M1RC-EA,2001,Echo Ash,RENAME,NC->NCI: NC2001-1LC1M1RC-EA -> NCI2001-1LC1M1RC-EA,OK
NCI2001-3M1C1OT-LAS,2001,Lasso,RENAME,NC->NCI: NC2001-3M1C1OT-LAS -> NCI2001-3M1C1OT-LAS,OK
NCI2001-4M1LC1RC-LAS,2001,Lasso,RENAME,NC->NCI: NC2001-4M1LC1RC-LAS -> NCI2001-4M1LC1RC-LAS,OK
NCI2001-6M1LC1RC-LAS,2001,Lasso,RENAME,NC->NCI: NC2001-6M1LC1RC-LAS -> NCI2001-6M1LC1RC-LAS,OK
NCI2001SECT-032-01-EA,2001,Echo Ash,RENAME,NC->NCI: NC2001SECT-032-01-EA -> NCI2001SECT-032-01-EA,OK
NCI2001SECT-032-01-LAS,2001,Lasso,RENAME,NC->NCI: NC2001SECT-032-01-LAS -> NCI2001SECT-032-01-LAS,OK
NCI2001SECT-034-01-EA,2001,Echo Ash,RENAME,NC->NCI: NC2001SECT-034-01-EA -> NCI2001SECT-034-01-EA,OK
NCI2001SECT-034-01-LAS,2001,Lasso,RENAME,NC->NCI: NC2001SECT-034-01-LAS -> NCI2001SECT-034-01-LAS,OK
NCI2001-068-01-EA,2001,Echo Ash,RENAME,NC->NCI: NC2001-068-01-EA -> NCI2001-068-01-EA,OK
NCI2001-068-01-LAS,2001,Lasso,RENAME,NC->NCI: NC2001-068-01-LAS -> NCI2001-068-01-LAS,OK
NCI2676-DG-304-1C13S1CT1ET-SD,2676 - DG,Spectrum Dove,RENAME,NC->NCI: NC2676-DG-304-1C13S1CT1ET-SD -> NCI2676-DG-304-1C13S1CT1ET-SD,OK
NCI2676-DG-304-1C13S1CT1ET-CFN,2676 - DG,Canvas Fern,RENAME,NC->NCI: NC2676-DG-304-1C13S1CT1ET-CFN -> NCI2676-DG-304-1C13S1CT1ET-CFN,OK
NCI2676-DG-304-1C13S1CT1ET-CN,2676 - DG,Canvas Natural,RENAME,NC->NCI: NC2676-DG-304-1C13S1CT1ET-CN -> NCI2676-DG-304-1C13S1CT1ET-CN,OK
NCI2676-DG-304-1C13S1CT1ET-DD,2676 - DG,Direction Dew,RENAME,NC->NCI: NC2676-DG-304-1C13S1CT1ET-DD -> NCI2676-DG-304-1C13S1CT1ET-DD,OK
NCI2676-DG-304-1C13S1CT1ET-BD,2676 - DG,Bliss Dew,RENAME,NC->NCI: NC2676-DG-304-1C13S1CT1ET-BD -> NCI2676-DG-304-1C13S1CT1ET-BD,OK
NCI2676-DG-304-2C13S1CT1ET-BD,2676 - DG,Bliss Dew,RENAME,NC->NCI: NC2676-DG-304-2C13S1CT1ET-BD -> NCI2676-DG-304-2C13S1CT1ET-BD,OK
NCI2676-DG-304-2C13S1CT1ET-CFN,2676 - DG,Canvas Fern,RENAME,NC->NCI: NC2676-DG-304-2C13S1CT1ET-CFN -> NCI2676-DG-304-2C13S1CT1ET-CFN,OK
NCI2676-DG-304-2C13S1CT1ET-CN,2676 - DG,Canvas Natural,RENAME,NC->NCI: NC2676-DG-304-2C13S1CT1ET-CN -> NCI2676-DG-304-2C13S1CT1ET-CN,OK
NCI2676-DG-304-2C13S1CT1ET-DD,2676 - DG,Direction Dew,RENAME,NC->NCI: NC2676-DG-304-2C13S1CT1ET-DD -> NCI2676-DG-304-2C13S1CT1ET-DD,OK
